area,name,lat,long,status,note,,住所,,,,,,,,
福生市1,02-2,35.7418997,139.3280761,0,福生駅西口公園植え込み,,東京都福生市大字福生773番地13,,,,,,,,
福生市1,02-3,35.7466112,139.3240834,0,加美平南公園西側（消火栓標識より右側柵）,,東京都福生市加美平三丁目10番地,,,,,,,,
福生市1,02-4,35.7492244,139.3206722,0,加美平西公園北側（フェンスを使用、警察署側寄って）,,東京都福生市加美平三丁目26番地,,,,,,,,
福生市1,02-5,35.7447801,139.3216002,0,正門脇プール更衣室横フェンス,,東京都福生市大字福生1290番地 福生第四小学校,,,,,,,,
福生市1,02-6,35.7424698,139.3199951,0,長徳寺駐車場金網フェンス,,東京都福生市大字福生618番地,,,,,,,,
福生市1,02-7,35.7461412,139.3207052,0,西側フェンス,,東京都福生市大字福生1280番地１ 福生市立わかぎり図書館,,,,,,,,
福生市1,03-1,35.7279623,139.3363388,0,野崎氏宅北側生垣根部分,,東京都福生市大字熊川762番地,,,,,,,,
福生市1,03-2,35.728394,139.3348049,0,森田氏宅新奥多摩街道寄り,,東京都福生市大字熊川769番地,,,,,,,,
福生市1,03-3,35.7263611,139.334659,0,鍋二公園金網フェンス,,東京都福生市大字熊川711番地3,,,,,,,,
福生市1,03-4,35.7252574,139.3345294,0,清水坂ゲートボール場金網フェンス,,東京都福生市大字熊川689番地35,,,,,,,,
福生市1,03-5,35.7246932,139.3368393,0,東門脇体育館付近の擁壁,,東京都福生市大字熊川623番地福生第二小学校,,,,,,,,
福生市1,03-6,35.7220196,139.3414006,0,武蔵野橋公園,,東京都福生市大字熊川1395番地８,,,,,,,,
福生市1,03-7,35.725125,139.3390703,0,野島氏宅山王橋通り側,,東京都福生市大字熊川521番地,,,,,,,,
福生市1,04-1,35.7346826,139.331201,0,牛一公園入口付近,,東京都福生市牛浜59番地２,,,,,,,,
福生市1,04-2,35.7341659,139.3325297,0,牛一会館北側町会掲示板右横フェンス,,東京都福生市牛浜82番地,,,,,,,,
福生市1,04-3,35.7360802,139.334829,0,フェンス,,東京都福生市牛浜162番地福生第三小学校,,,,,,,,
福生市1,04-4,35.7342287,139.3362299,0,福生公園西側レンガ格子フェンス,,東京都福生市牛浜163番地,,,,,,,,
福生市1,04-5,35.739225,139.3383671,0,フレンドシップパーク16号線側花壇の中,,東京都福生市大字福生2351番地,,,,,,,,
福生市1,04-6,35.7390224,139.335445,0,原ケ谷戸どんぐり公園入口左側坂上フェンス,,東京都福生市大字福生196番地７,,,,,,,,
福生市1,04-7,35.7398002,139.332149,0,親和児童遊園東側角切と入口の間のフェンス,,東京都福生市大字福生286番地,,,,,,,,
福生市1,04-8,35.7409582,139.335058,0,原ヶ谷戸児童公園フェンス,,東京都福生市大字福生２２５０番地１１,,,,,,,,
福生市1,05-1,35.7491364,139.3267367,0,西門脇左側格子フェンス,,東京都福生市加美平一丁目９番地１ 福生第六小学校,,,,,,,,
福生市1,05-2,35.7427199,139.3289195,0,西友(株)福生店駐車場ブロック上金網部分,,東京都福生市東町３番地１２,,,,,,,,
福生市1,05-3,35.747635,139.326127,0,北側植え込み,,東京都福生市加美平一丁目６番地 福生病院,,,,,,,,
福生市1,05-4,35.7459141,139.3290331,0,藤の木児童遊園西側擁壁上格子フェンス,,東京都福生市大字福生921番地,,,,,,,,
福生市1,05-5,35.7473509,139.3273433,0,東側つつじの植え込みの所,,東京都福生市加美平一丁目６番地 福生病院,,,,,,,,
福生市1,05-6,35.7455833,139.3309876,0,武蔵野台南公園南側玉垣の上格子フェンス,,東京都福生市武蔵野台二丁目９番,,,,,,,,
福生市1,05-7,35.7482504,139.3301039,0,都営武蔵野台二丁目アパート２号棟南側格子フェンス,,東京都福生市武蔵野台二丁目17番地１,,,,,,,,
福生市1,06-1,35.7171738,139.3380701,0,北門脇バス停前植え込み付近,,東京都福生市大字熊川215番地都立多摩工科高校,,,,,,,,
福生市1,06-2,35.7190521,139.3370599,0,石川氏畑町会掲示板の左隣,,東京都福生市大字熊川401番地１,,,,,,,,
福生市1,06-3,35.7197771,139.3323459,0,睦橋通り側真福寺敷地フェンス,,東京都福生市大字熊川311番地1,,,,,,,,
福生市1,06-4,35.7184873,139.3339883,0,アパート前格子フェンス,,東京都福生市大字熊川63番地12 セイバリーⅠ,,,,,,,,
福生市1,06-5,35.7180803,139.334851,0,西側,,東京都福生市大字熊川199番地１ 福生市立わかたけ図書館,,,,,,,,
福生市1,06-6,35.7159235,139.3335282,0,東側植え込みの中,,東京都福生市大字熊川95番地 熊川住宅１号棟,,,,,,,,
福生市1,06-7,35.7145081,139.3353873,0,東側植え込みの中,,東京都福生市大字熊川95番地 熊川住宅12号棟,,,,,,,,
福生市1,07-1,35.7516983,139.3258677,0,西門脇擁壁上格子フェンス,,東京都福生市加美平一丁目22番地１福生第二中学校,,,,,,,,
福生市1,07-2,35.7513176,139.3301787,0,武蔵野台第五児童遊園,,東京都福生市武蔵野台一丁目28番地1,,,,,,,,
福生市1,07-3,35.7532117,139.3242946,0,南側植え込みの中,,東京都福生市加美平四丁目１番地 加美平住宅６号棟,,,,,,,,
福生市1,07-4,35.7518433,139.3239316,0,南側掲示板横植え込みの中,,東京都福生市加美平四丁目１番地加美平住宅１号棟,,,,,,,,
福生市1,07-5,35.7514162,139.3290145,0,東京都水道局福生武蔵野台浄水所,,東京都福生市武蔵野台二丁目32番地,,,,,,,,
福生市1,07-6,35.750137,139.3234195,0,加美平北公園北側鉄パイプを利用,,東京都福生市加美平二丁目12番地,,,,,,,,
福生市1,07-7,35.7505778,139.3276897,0,加美平野球場南側交差点近くのフェンス,,東京都福生市加美平一丁目21番地,,,,,,,,
福生市1,08-1,35.73038,139.3414321,0,熊川児童館横生垣根部分,,東京都福生市大字熊川1143番地1都営熊川アパート23号棟,,,,,,,,
福生市1,08-2,35.7317967,139.3330461,0,第五市営ゲートボール場跡地,,東京都福生市大字熊川978番地,,,,,,,,
福生市1,08-3,35.7316438,139.3348401,0,熊牛公園,,東京都福生市大字熊川929番地１,,,,,,,,
福生市1,08-4,35.7298672,139.3376675,0,南側バックネット付近,,東京都福生市大字熊川845番地福生第一中学校,,,,,,,,
福生市1,08-5,35.7314393,139.3392773,0,西側芝生植え込みの中,,東京都福生市大字熊川1108番地第四市営住宅Ｂ号棟,,,,,,,,
福生市1,08-6,35.7332118,139.340537,0,前出口右側,,東京都福生市大字熊川1076番地12 福生市民会館・公民館・さくら会館駐車場,,,,,,,,
福生市1,08-7,35.7265643,139.341451,0,西側植え込み中,,東京都福生市大字熊川1315番地１ 都営熊川アパート１号棟,,,,,,,,
福生市1,09-1,35.7290761,139.330933,0,正門脇右側擁壁上フェンス,,東京都福生市南田園三丁目１番地１ 福生第三中学校,,,,,,,,
福生市1,09-2,35.7322252,139.3268154,0,正門脇左側擁壁上フェンス,,東京都福生市北田園一丁目１番地１ 福生第七小学校,,,,,,,,
福生市1,09-3,35.7301251,139.3282484,0,桜公園多摩川の堤川鉄パイプ,,東京都福生市南田園三丁目15番地,,,,,,,,
福生市1,09-4,35.7255047,139.3310874,0,東側福生団地南交差点植え込みの中,,東京都福生市南田園二丁目７番地 福生団地１号棟,,,,,,,,
福生市1,09-5,35.7240121,139.3309684,0,明神下公園東側鉄パイプ,,東京都福生市南田園一丁目12番地１,,,,,,,,
福生市1,09-6,35.7283224,139.3328495,0,富士見公園東側鉄パイプ,,東京都福生市南田園二丁目12番地,,,,,,,,
福生市1,09-7,35.721356,139.3313982,0,正門脇入口左側擁壁上格子フェンス,,東京都福生市南田園一丁目２番地２福生第五小学校,,,,,,,,
福生市1,10-1,35.7216066,139.3459878,0,遊歩道入り口植え込みの中,,東京都福生市大字熊川1663番地,,,,,,,,
